Epoch 082 | G_loss 0.6947, D_loss 1.2770 | D(x) 0.6553, D(G(z)) 0.5267
Epoch 083 | G_loss 0.6951, D_loss 1.2836 | D(x) 0.6522, D(G(z)) 0.5283
Epoch 084 | G_loss 0.6954, D_loss 1.2766 | D(x) 0.6565, D(G(z)) 0.5266
Epoch 085 | G_loss 0.6956, D_loss 1.2862 | D(x) 0.6481, D(G(z)) 0.5278
Epoch 086 | G_loss 0.6966, D_loss 1.2781 | D(x) 0.6508, D(G(z)) 0.5254
Epoch 087 | G_loss 0.6960, D_loss 1.2738 | D(x) 0.6562, D(G(z)) 0.5253
Epoch 088 | G_loss 0.6963, D_loss 1.2842 | D(x) 0.6498, D(G(z)) 0.5274
Epoch 089 | G_loss 0.6960, D_loss 1.2947 | D(x) 0.6395, D(G(z)) 0.5278
Epoch 090 | G_loss 0.6973, D_loss 1.2936 | D(x) 0.6375, D(G(z)) 0.5271, FID 204.62
Epoch 091 | G_loss 0.6984, D_loss 1.2912 | D(x) 0.6375, D(G(z)) 0.5260
Epoch 092 | G_loss 0.6967, D_loss 1.2968 | D(x) 0.6343, D(G(z)) 0.5272
Epoch 093 | G_loss 0.6985, D_loss 1.2916 | D(x) 0.6339, D(G(z)) 0.5247
Epoch 094 | G_loss 0.6993, D_loss 1.2948 | D(x) 0.6333, D(G(z)) 0.5257
Epoch 095 | G_loss 0.6995, D_loss 1.3000 | D(x) 0.6281, D(G(z)) 0.5262
Epoch 096 | G_loss 0.7013, D_loss 1.2901 | D(x) 0.6316, D(G(z)) 0.5230
Epoch 097 | G_loss 0.6981, D_loss 1.2816 | D(x) 0.6438, D(G(z)) 0.5244
Epoch 098 | G_loss 0.6990, D_loss 1.3055 | D(x) 0.6252, D(G(z)) 0.5270
Epoch 099 | G_loss 0.7003, D_loss 1.2992 | D(x) 0.6236, D(G(z)) 0.5240
Epoch 100 | G_loss 0.7002, D_loss 1.3035 | D(x) 0.6232, D(G(z)) 0.5254, FID 204.33
